,city,state,20th_x,40th_x,Median_x,60th_x,80th_x,95th_x,Unnamed: 0.1,20th_y,40th_y,Median_y,60th_y,80th_y,95th_y,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
73,Warren,Ohio,36692.0,62604.0,76200.0,94141.0,145131.0,250001.0,661,11232,21261,29176,36813,58181,103331,0.3849739511927612,0.7287153825061694,1.2617562380038387,1.994139018371264,3.541643816835756,11.0,27.7,32.0,80.7,101.0,254.8,83.0,209.4,494.0,1246.1,1008.0,2542.7,106.0,267.4,2.0,5.0,448.7,213309.0
74,Choctaw,Oklahoma,12023.0,22858.0,30870.0,40452.0,67071.0,114310.0,672,32854,58223,68907,81829,118587,194700,0.4767875542397724,0.8449504404487207,1.1875281176077903,1.7209717445252295,2.8255474770342635,0.0,0.0,2.0,15.9,1.0,8.0,15.0,119.5,73.0,581.4,132.0,1051.3,12.0,95.6,2.0,15.9,129.4,102287.0
75,Muskogee,Oklahoma,16134.0,31556.0,41117.0,51878.0,80072.0,141341.0,688,14957,28930,36232,47113,73796,129934,0.4128118790019872,0.7984654449105762,1.3003146389931552,2.0367630823581364,3.5861669242658425,1.0,2.6,32.0,83.8,49.0,128.3,379.0,992.2,543.0,1421.5,1058.0,2769.7,110.0,288.0,12.0,31.4,542.5,125207.0
76,Okmulgee,Oklahoma,16886.0,30261.0,38712.0,48097.0,77984.0,131272.0,692,13450,22256,28717,35904,57837,106192,0.4683636870146603,0.7750113173381621,1.2502698749869416,2.01403349932096,3.697879304941324,1.0,8.2,22.0,180.6,5.0,41.0,61.0,500.7,89.0,730.5,384.0,3151.9,25.0,205.2,6.0,49.2,467.0,114386.0
77,Tulsa,Oklahoma,21438.0,40081.0,50654.0,62913.0,101551.0,191469.0,700,18344,34345,43045,54208,90237,190098,0.4261586711580904,0.7978859333255895,1.2593332558949937,2.096341038448136,4.41626205134162,70.0,17.3,423.0,104.5,964.0,238.1,2757.0,681.0,5574.0,1376.7,13054.0,3224.3,3460.0,854.6,144.0,35.6,619.5,170031.0
78,Woodward,Oklahoma,22616.0,44349.0,58569.0,73290.0,103633.0,174606.0,702,21641,43096,55013,68939,100554,179990,0.3933797466053478,0.7833784741788304,1.2531401668696491,1.8278225146783489,3.271772126588261,0.0,0.0,12.0,94.8,0.0,0.0,26.0,205.5,108.0,853.4,221.0,1746.3,18.0,142.2,2.0,15.8,257.9,151990.0
79,Indiana,Pennsylvania,18341.0,35028.0,45118.0,55879.0,87470.0,154079.0,736,8043,18869,28103,38525,64635,126643,0.2861972031455716,0.6714229797530513,1.3708500871793048,2.2999323915596204,4.506387218446429,2.0,14.3,8.0,57.2,4.0,28.6,107.0,765.2,43.0,307.5,196.0,1401.6,4.0,28.6,0.0,0.0,315.9,135738.0
80,Dickson,Tennessee,20074.0,38395.0,47137.0,57777.0,92498.0,150494.0,753,16555,31929,40488,50674,83047,140435,0.4088865836791148,0.7886040308239478,1.251580715273661,2.0511509583086345,3.46855858525983,1.0,6.4,12.0,76.7,12.0,76.7,150.0,959.3,108.0,690.7,773.0,4943.4,55.0,351.7,1.0,6.4,563.3,130420.0
81,Franklin,Tennessee,18258.0,35862.0,44837.0,53302.0,82899.0,156442.0,756,37256,73343,88961,108077,162767,250001,0.4187902564044919,0.8244399231123751,1.2148806780499322,1.829644450939176,2.8102314497364014,2.0,3.2,14.0,22.5,9.0,14.5,79.0,127.2,115.0,185.1,921.0,1482.4,30.0,48.3,8.0,12.9,130.4,138184.0
82,Jackson,Tennessee,13589.0,23671.0,32676.0,40854.0,61947.0,107096.0,761,14776,30963,39747,50889,84681,164982,0.37175132714418696,0.7790021888444411,1.280323043248547,2.13050041512567,4.150803834251642,7.0,10.4,28.0,41.8,91.0,135.8,529.0,789.2,497.0,741.4,2271.0,3388.0,149.0,222.3,16.0,23.9,458.1,93507.0
