,city,state,20th,40th,Median,60th,80th,95th,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
67,Cabot,Arkansas,25532,47945,58711,70924,103559,150549,1.0,3.8,20.0,76.6,5.0,19.1,31.0,118.7,92.0,352.2,280.0,1072.1,34.0,130.2,0.0,0.0,176.4,125017
68,Camden,Arkansas,10496,19243,25581,32761,57710,140947,0.0,0.0,13.0,117.4,11.0,99.4,142.0,1282.9,126.0,1138.3,289.0,2610.9,21.0,189.7,6.0,54.2,579.6,130451
69,Clarksville,Arkansas,15102,26109,30849,38120,56869,115822,0.0,0.0,22.0,229.6,1.0,10.4,24.0,250.5,24.0,250.5,289.0,3016.4,12.0,125.2,1.0,10.4,385.1,100720
70,Conway,Arkansas,19042,35688,47190,60417,93596,165089,1.0,1.5,41.0,61.8,63.0,95.0,210.0,316.7,331.0,499.3,1835.0,2767.8,148.0,223.2,8.0,12.1,307.9,146047
71,Fayetteville,Arkansas,14559,29827,40013,50860,97383,201821,1.0,1.2,91.0,106.3,71.0,83.0,352.0,411.3,463.0,540.9,3257.0,3805.3,344.0,401.9,12.0,14.0,416.8,187262
72,Greenwood,Arkansas,24627,45659,57150,76738,99986,139336,0.0,0.0,5.0,53.1,0.0,0.0,10.0,106.3,14.0,148.8,21.0,223.2,4.0,42.5,0.0,0.0,86.5,114709
73,Harrison,Arkansas,13356,27455,35423,41993,67270,126855,1.0,7.6,18.0,136.3,7.0,53.0,54.0,408.8,90.0,681.4,394.0,2983.0,28.0,212.0,9.0,68.1,405.8,113499
74,Hope,Arkansas,14249,21864,27000,34699,55078,96821,1.0,10.1,10.0,101.4,12.0,121.7,95.0,963.6,81.0,821.6,365.0,3702.2,26.0,263.7,1.0,10.1,557.4,82572
75,Jacksonville,Arkansas,20962,34439,42991,53545,78784,127297,3.0,10.5,22.0,77.1,33.0,115.6,203.0,711.3,288.0,1009.1,870.0,3048.4,113.0,395.9,5.0,17.5,483.9,106335
76,Jonesboro,Arkansas,17459,32712,42732,52002,86775,165360,13.0,17.1,54.0,70.9,62.0,81.4,271.0,355.7,1239.0,1626.2,1728.0,2268.1,157.0,206.1,12.0,15.8,407.4,147901
77,Lowell,Arkansas,30375,45700,56557,66182,91773,161325,0.0,0.0,5.0,54.2,0.0,0.0,13.0,141.0,45.0,488.1,70.0,759.2,9.0,97.6,0.0,0.0,143.9,130950
78,Magnolia,Arkansas,13812,30267,34591,42439,82107,140661,0.0,0.0,3.0,25.9,14.0,121.0,38.0,328.5,423.0,3656.6,195.0,1685.7,17.0,147.0,1.0,8.6,457.9,126849
79,Malvern,Arkansas,11208,21694,30123,36513,61641,112725,1.0,9.1,7.0,63.6,5.0,45.4,31.0,281.6,134.0,1217.4,257.0,2334.9,20.0,181.7,4.0,36.3,332.2,101517
80,Marion,Arkansas,31557,54802,67178,77325,109647,171098,1.0,8.1,7.0,56.7,19.0,153.8,106.0,857.9,81.0,655.6,309.0,2500.8,23.0,186.1,1.0,8.1,440.0,139541
81,Maumelle,Arkansas,29755,59816,78779,95124,128897,219409,0.0,0.0,1.0,5.5,3.0,16.4,33.0,180.5,74.0,404.9,270.0,1477.2,25.0,136.8,1.0,5.5,143.8,189654
82,Monticello,Arkansas,9432,19820,28615,39921,67930,115226,1.0,10.2,7.0,71.6,11.0,112.5,18.0,184.1,76.0,777.5,204.0,2087.0,18.0,184.1,3.0,30.7,301.0,105794
83,Newport,Arkansas,10611,20559,26853,33947,68500,170771,1.0,12.9,12.0,155.2,13.0,168.1,46.0,594.9,130.0,1681.1,304.0,3931.2,18.0,232.8,4.0,51.7,613.0,160160
84,Osceola,Arkansas,12365,21945,26031,32785,54229,110375,6.0,85.9,4.0,57.3,16.0,229.1,129.0,1847.1,201.0,2878.0,205.0,2935.3,14.0,200.5,1.0,14.3,990.7,98010
85,Paragould,Arkansas,17307,33580,41717,53595,81572,135647,0.0,0.0,39.0,136.4,14.0,49.0,110.0,384.8,261.0,913.0,1071.0,3746.3,122.0,426.8,1.0,3.5,448.7,118340
86,Rogers,Arkansas,25841,43671,53638,67867,113690,243543,0.0,0.0,101.0,151.6,17.0,25.5,148.0,222.1,198.0,297.2,1671.0,2508.0,137.0,205.6,4.0,6.0,310.9,217702
87,Russellville,Arkansas,15144,28346,35564,45296,68010,140000,0.0,0.0,23.0,77.2,9.0,30.2,122.0,409.6,148.0,496.9,820.0,2753.0,101.0,339.1,1.0,3.4,324.8,124856
88,Searcy,Arkansas,14727,30111,39313,49073,82755,154754,1.0,4.3,12.0,52.1,11.0,47.8,55.0,238.8,440.0,1910.5,735.0,3191.4,15.0,65.1,3.0,13.0,379.1,140027
89,Sherwood,Arkansas,25224,47475,59330,69639,99761,165529,3.0,9.7,15.0,48.7,22.0,71.4,131.0,424.9,436.0,1414.2,787.0,2552.7,90.0,291.9,3.0,9.7,389.2,140305
90,Springdale,Arkansas,22276,37039,44854,53287,83941,152973,3.0,4.1,77.0,104.1,29.0,39.2,245.0,331.4,473.0,639.7,2056.0,2780.7,122.0,165.0,13.0,17.6,338.7,130697
91,Stuttgart,Arkansas,16646,30596,35892,43219,66757,146565,1.0,11.3,11.0,123.8,6.0,67.6,47.0,529.2,75.0,844.4,246.0,2769.6,15.0,168.9,2.0,22.5,431.1,129919
92,Texarkana,Arkansas,16021,29519,37659,47057,78779,136324,2.0,6.6,12.0,39.6,44.0,145.1,182.0,600.0,287.0,946.1,988.0,3257.1,80.0,263.7,4.0,13.2,426.0,120303
93,Wynne,Arkansas,14563,28401,40086,47582,79776,136555,0.0,0.0,10.0,124.5,3.0,37.3,38.0,473.0,59.0,734.5,211.0,2626.7,11.0,136.9,2.0,24.9,372.8,121992
94,Anaheim,California,27035,49786,61826,77469,121828,213738,10.0,2.8,115.0,32.5,480.0,135.8,648.0,183.4,1351.0,382.3,6393.0,1809.0,1552.0,439.2,45.0,12.7,243.4,186703
