,Unnamed: 0,city,state,20th,40th,Median,60th,80th,95th,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
718,718,McMinnville,Oregon,22115,38537,47460,58827,91819,157362,0.46597134428992837,0.8119890434049726,1.2395069532237675,1.934660766961652,3.315676359039191,1.0,2.8,14.0,39.9,6.0,17.1,29.0,82.6,90.0,256.2,755.0,2149.5,59.0,168.0,8.0,22.8,176.6,135247
719,719,Medford,Oregon,19396,35471,44130,54861,87820,153221,0.4395196011783367,0.803784273736687,1.2431679129843645,1.9900294584183096,3.4720371629277134,4.0,4.8,33.0,39.9,98.0,118.4,241.0,291.1,489.0,590.6,4145.0,5006.5,302.0,364.8,36.0,43.5,406.1,133825
720,720,Milwaukie,Oregon,23325,45245,55880,66690,94245,146377,0.41741231209735147,0.8096814602720115,1.1934502505368647,1.6865604867573372,2.619488188976378,0.0,0.0,7.0,33.3,7.0,33.3,18.0,85.6,82.0,389.9,298.0,1416.8,95.0,451.7,2.0,9.5,173.8,123052
721,721,Pendleton,Oregon,19287,36498,46913,57884,84739,141743,0.41112271651780957,0.7779933067593204,1.2338584187751795,1.806301025302155,3.021401317332083,0.0,0.0,11.0,65.0,4.0,23.6,31.0,183.1,63.0,372.2,403.0,2380.8,26.0,153.6,3.0,17.7,229.3,122456
722,722,Portland,Oregon,22471,45168,58423,73918,117259,225299,0.3846259178748096,0.7731201752734368,1.2652208890334287,2.0070691337315782,3.8563408246752133,24.0,3.7,438.0,67.4,1045.0,160.9,1842.0,283.6,4735.0,729.1,24837.0,3824.6,7295.0,1123.3,307.0,47.3,460.2,202828
723,723,Redmond,Oregon,20104,36327,44121,53899,82038,129069,0.45565603680786926,0.8233494254436663,1.2216178237120645,1.8593866866118176,2.9253416740327736,0.0,0.0,10.0,54.8,11.0,60.3,26.0,142.5,243.0,1331.5,1015.0,5561.6,104.0,569.9,11.0,60.3,451.7,108965
724,724,Roseburg,Oregon,16987,31341,41158,54689,82524,145250,0.4127265659167112,0.7614801496671364,1.3287574712085135,2.005053695514845,3.529083045823412,0.0,0.0,9.0,40.0,18.0,80.0,26.0,115.5,151.0,671.0,1027.0,4563.4,100.0,444.3,12.0,53.3,344.1,128263
725,725,Salem,Oregon,21715,39304,49126,60774,92195,158069,0.44202662541220533,0.8000651386231323,1.2371045882017668,1.876704799902292,3.2176240687212476,6.0,3.5,44.0,25.9,167.0,98.5,424.0,250.1,897.0,529.0,5437.0,3206.4,861.0,507.8,34.0,20.1,313.3,136354
726,726,Sherwood,Oregon,40565,69181,86111,99785,140105,209737,0.47107802719745445,0.8033932947010254,1.158795043606508,1.627027905842459,2.4356586266562923,0.0,0.0,10.0,51.4,2.0,10.3,4.0,20.5,15.0,77.0,198.0,1016.8,15.0,77.0,1.0,5.1,100.5,169172
727,727,Springfield,Oregon,18390,32898,39670,47645,75069,119260,0.46357448953869423,0.8292916561633477,1.2010335265944039,1.8923367784219813,3.0063019914292917,1.0,1.6,25.0,40.1,41.0,65.8,102.0,163.7,238.0,381.9,2063.0,3310.4,165.0,264.8,17.0,27.3,268.1,100870
