,Unnamed: 0,city,state,20th,40th,Median,60th,80th,95th,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
77,77,Lowell,Arkansas,30375,45700,56557,66182,91773,161325,0.5370687978499566,0.8080343724030624,1.1701822939689164,1.6226638612373359,2.852432059691992,0.0,0.0,5.0,54.2,0.0,0.0,13.0,141.0,45.0,488.1,70.0,759.2,9.0,97.6,0.0,0.0,143.9,130950
78,78,Magnolia,Arkansas,13812,30267,34591,42439,82107,140661,0.39929461420600737,0.8749963863432685,1.2268798242317365,2.373652106039143,4.066404556098407,0.0,0.0,3.0,25.9,14.0,121.0,38.0,328.5,423.0,3656.6,195.0,1685.7,17.0,147.0,1.0,8.6,457.9,126849
79,79,Malvern,Arkansas,11208,21694,30123,36513,61641,112725,0.3720744945722538,0.7201805929024333,1.21213026590977,2.0463101284732597,3.7421571556617867,1.0,9.1,7.0,63.6,5.0,45.4,31.0,281.6,134.0,1217.4,257.0,2334.9,20.0,181.7,4.0,36.3,332.2,101517
80,80,Marion,Arkansas,31557,54802,67178,77325,109647,171098,0.4697520021435589,0.8157730209294709,1.1510464735478878,1.6321861323647622,2.5469350084849207,1.0,8.1,7.0,56.7,19.0,153.8,106.0,857.9,81.0,655.6,309.0,2500.8,23.0,186.1,1.0,8.1,440.0,139541
81,81,Maumelle,Arkansas,29755,59816,78779,95124,128897,219409,0.3777021795148453,0.7592886429124512,1.207479150535041,1.6361847700529328,2.7851204001066274,0.0,0.0,1.0,5.5,3.0,16.4,33.0,180.5,74.0,404.9,270.0,1477.2,25.0,136.8,1.0,5.5,143.8,189654
82,82,Monticello,Arkansas,9432,19820,28615,39921,67930,115226,0.3296173335663114,0.6926437183295474,1.3951074611217893,2.3739297571203912,4.026769177005067,1.0,10.2,7.0,71.6,11.0,112.5,18.0,184.1,76.0,777.5,204.0,2087.0,18.0,184.1,3.0,30.7,301.0,105794
83,83,Newport,Arkansas,10611,20559,26853,33947,68500,170771,0.3951513797341079,0.7656127806948945,1.2641790488958402,2.550925408706662,6.359475663799203,1.0,12.9,12.0,155.2,13.0,168.1,46.0,594.9,130.0,1681.1,304.0,3931.2,18.0,232.8,4.0,51.7,613.0,160160
84,84,Osceola,Arkansas,12365,21945,26031,32785,54229,110375,0.4750105643271484,0.8430333064423188,1.2594598747647037,2.0832468979293917,4.240136760016903,6.0,85.9,4.0,57.3,16.0,229.1,129.0,1847.1,201.0,2878.0,205.0,2935.3,14.0,200.5,1.0,14.3,990.7,98010
85,85,Paragould,Arkansas,17307,33580,41717,53595,81572,135647,0.41486684085624564,0.8049476232710885,1.284728048517391,1.955365917971091,3.2516000671189205,0.0,0.0,39.0,136.4,14.0,49.0,110.0,384.8,261.0,913.0,1071.0,3746.3,122.0,426.8,1.0,3.5,448.7,118340
86,86,Rogers,Arkansas,25841,43671,53638,67867,113690,243543,0.48176665796636714,0.814180245348447,1.2652783474402476,2.119579402662292,4.540493679853835,0.0,0.0,101.0,151.6,17.0,25.5,148.0,222.1,198.0,297.2,1671.0,2508.0,137.0,205.6,4.0,6.0,310.9,217702
87,87,Russellville,Arkansas,15144,28346,35564,45296,68010,140000,0.4258238668316275,0.7970419525362726,1.2736475087166799,1.9123270723203238,3.936565065796873,0.0,0.0,23.0,77.2,9.0,30.2,122.0,409.6,148.0,496.9,820.0,2753.0,101.0,339.1,1.0,3.4,324.8,124856
88,88,Searcy,Arkansas,14727,30111,39313,49073,82755,154754,0.3746089079948109,0.7659298450894106,1.2482639330501362,2.105028870856968,3.9364586777910615,1.0,4.3,12.0,52.1,11.0,47.8,55.0,238.8,440.0,1910.5,735.0,3191.4,15.0,65.1,3.0,13.0,379.1,140027
89,89,Sherwood,Arkansas,25224,47475,59330,69639,99761,165529,0.4251474801955166,0.8001854036743637,1.1737569526377887,1.681459632563627,2.789971346704871,3.0,9.7,15.0,48.7,22.0,71.4,131.0,424.9,436.0,1414.2,787.0,2552.7,90.0,291.9,3.0,9.7,389.2,140305
90,90,Springdale,Arkansas,22276,37039,44854,53287,83941,152973,0.49663352209390466,0.8257680474428145,1.18800998796094,1.8714272974539616,3.410465064431266,3.0,4.1,77.0,104.1,29.0,39.2,245.0,331.4,473.0,639.7,2056.0,2780.7,122.0,165.0,13.0,17.6,338.7,130697
91,91,Stuttgart,Arkansas,16646,30596,35892,43219,66757,146565,0.46378022957762177,0.8524462275716037,1.2041401983728965,1.8599409339128496,4.083500501504513,1.0,11.3,11.0,123.8,6.0,67.6,47.0,529.2,75.0,844.4,246.0,2769.6,15.0,168.9,2.0,22.5,431.1,129919
92,92,Texarkana,Arkansas,16021,29519,37659,47057,78779,136324,0.4254228736822539,0.7838498101383468,1.2495552192039088,2.0919036618072706,3.619958044557742,2.0,6.6,12.0,39.6,44.0,145.1,182.0,600.0,287.0,946.1,988.0,3257.1,80.0,263.7,4.0,13.2,426.0,120303
93,93,Wynne,Arkansas,14563,28401,40086,47582,79776,136555,0.3632939180761363,0.7085017212992067,1.1869979543980442,1.9901212393354288,3.406550915531607,0.0,0.0,10.0,124.5,3.0,37.3,38.0,473.0,59.0,734.5,211.0,2626.7,11.0,136.9,2.0,24.9,372.8,121992
94,94,Anaheim,California,27035,49786,61826,77469,121828,213738,0.4372755798531362,0.805259923009737,1.2530165302623493,1.970497848801475,3.4570892504771455,10.0,2.8,115.0,32.5,480.0,135.8,648.0,183.4,1351.0,382.3,6393.0,1809.0,1552.0,439.2,45.0,12.7,243.4,186703
95,95,Bakersfield,California,23625,46148,58669,72882,112511,195079,0.40268284784127906,0.7865823518382792,1.242257410216639,1.9177248632156676,3.325077979853074,41.0,10.8,92.0,24.1,753.0,197.6,941.0,246.9,3667.0,962.1,9063.0,2377.8,2777.0,728.6,269.0,70.6,370.2,171454
96,96,Concord,California,31577,57490,71477,88327,130601,225861,0.4417784741944961,0.8043146746505869,1.2357401681659834,1.8271751752311933,3.159911579948795,5.0,3.9,63.0,48.5,163.0,125.6,231.0,178.0,448.0,345.2,3212.0,2474.8,759.0,584.8,27.0,20.8,289.7,194284
97,97,Corona,California,30118,57733,72309,88779,129664,214065,0.4165179991425687,0.7984206668602802,1.2277724764552131,1.7931931018268819,2.9604198647471267,1.0,0.6,36.0,21.3,107.0,63.3,79.0,46.7,561.0,331.6,2177.0,1286.9,559.0,330.4,19.0,11.2,147.6,183947
98,98,Escondido,California,23828,43034,54268,67850,108163,183953,0.4390801208815508,0.7929903442175867,1.250276405985111,1.9931267045035748,3.3897140119407387,3.0,2.0,51.0,33.4,174.0,113.8,348.0,227.7,427.0,279.4,1780.0,1164.6,398.0,260.4,29.0,19.0,197.3,160125
99,99,Fontana,California,30207,52567,65995,79252,112273,178931,0.45771649367376316,0.7965300401545572,1.200878854458671,1.7012349420410637,2.7112811576634592,6.0,3.1,37.0,19.2,240.0,124.6,476.0,247.2,804.0,417.5,2130.0,1105.9,747.0,387.9,13.0,6.7,212.9,148724
100,100,Fremont,California,50638,93005,111613,132989,196323,250001,0.45369267020866744,0.8332810694094774,1.191518909087651,1.758961769686327,2.239891410498777,2.0,0.8,68.0,28.8,187.0,79.1,174.0,73.6,673.0,284.7,3545.0,1499.8,865.0,366.0,26.0,11.0,172.4,199363
101,101,Fresno,California,16609,31652,41842,53777,89356,168023,0.3969456526934659,0.7564647961378519,1.2852397112948712,2.1355575737297454,4.015654127431767,56.0,10.6,174.0,33.1,958.0,182.0,1786.0,339.3,3649.0,693.2,13782.0,2618.3,2789.0,529.9,217.0,41.2,365.8,151414
102,102,Fullerton,California,27622,53919,67110,83181,136264,241827,0.4115929071673372,0.8034421099687081,1.2394725078229771,2.0304574579049324,3.603442109968708,1.0,0.7,63.0,44.5,98.0,69.2,131.0,92.5,293.0,206.9,3273.0,2310.8,386.0,272.5,30.0,21.2,205.0,214205
103,103,Glendale,California,20366,42954,56069,74159,125691,240690,0.3632310189231126,0.7660917797713531,1.3226381779593002,2.241720023542421,4.292746437425315,3.0,1.5,32.0,15.8,127.0,62.8,112.0,55.3,498.0,246.1,2303.0,1138.0,317.0,156.6,13.0,6.4,120.8,220324
104,104,Hayward,California,29210,54306,68138,83656,128406,223025,0.4286888373594764,0.7970002054653791,1.2277436966156916,1.884499104757991,3.2731368692946665,5.0,3.1,70.0,43.4,306.0,189.6,182.0,112.8,482.0,298.6,2740.0,1697.5,1801.0,1115.7,37.0,22.9,298.4,193815
105,105,Irvine,California,36342,76230,93823,113270,175042,250001,0.38734638628054957,0.8124873431887704,1.2072732698805198,1.8656619379043518,2.6646024961896337,2.0,0.7,46.0,16.7,55.0,19.9,66.0,23.9,627.0,227.1,2814.0,1019.1,194.0,70.3,10.0,3.6,87.8,213659
106,106,Lancaster,California,17099,37921,47684,60337,93920,159669,0.3585898833990437,0.7952562704471101,1.2653510611525878,1.9696334200150993,3.348481671000755,15.0,9.3,80.0,49.8,337.0,209.8,787.0,489.9,935.0,582.0,1733.0,1078.7,650.0,404.6,40.0,24.9,335.7,142570
107,107,Modesto,California,21238,40637,50996,64326,100385,177975,0.4164640363950114,0.7968664208957565,1.2613930504353283,1.968487724527414,3.489979606243627,20.0,9.4,110.0,51.5,519.0,242.9,1425.0,666.9,1188.0,556.0,5865.0,2744.8,1412.0,660.8,63.0,29.5,467.7,156737
108,108,Oakland,California,20540,43399,57778,74715,129313,250001,0.35549863269756654,0.7511336494859635,1.2931392571567033,2.238101007303818,4.32692374260099,69.0,16.2,400.0,94.1,2676.0,629.8,2376.0,559.2,2622.0,617.1,17305.0,4072.6,5495.0,1293.2,196.0,46.1,718.1,229461
109,109,Oceanside,California,26014,47857,58949,74208,113944,203843,0.44129671410880594,0.8118373509304653,1.2588508710919608,1.9329250708239325,3.457955181597652,9.0,5.1,69.0,39.0,165.0,93.3,451.0,255.1,592.0,334.8,3000.0,1696.7,496.0,280.5,22.0,12.4,234.2,177829
110,110,Ontario,California,24238,45101,54896,65811,98939,157268,0.4415257942290877,0.8215716992130574,1.1988305158845818,1.8022988924511805,2.8648353249781406,8.0,4.6,136.0,77.8,220.0,125.9,319.0,182.6,720.0,412.1,2842.0,1626.6,911.0,521.4,29.0,16.6,281.3,133030
111,111,Orange,California,34950,62802,79192,94617,147380,250001,0.44133245782402264,0.7930346499646429,1.1947797757349228,1.8610465703606425,3.156897161329427,4.0,2.8,12.0,8.5,64.0,45.3,138.0,97.8,489.0,346.5,1754.0,1242.8,341.0,241.6,19.0,13.5,138.9,215051
112,112,Oxnard,California,29867,51290,61709,74979,112602,192034,0.4839974720057042,0.8311591502049944,1.215041566060056,1.8247257288239964,3.1119285679560518,15.0,7.2,65.0,31.0,430.0,205.2,398.0,190.0,787.0,375.6,3848.0,1836.6,693.0,330.8,43.0,20.5,264.9,162167
113,113,Palmdale,California,21965,41473,52801,66530,103076,174467,0.41599590916838697,0.7854586087384708,1.2600140148860817,1.9521599969697543,3.304236662184428,4.0,2.5,37.0,23.4,218.0,137.9,422.0,266.9,613.0,387.7,1611.0,1019.0,435.0,275.2,29.0,18.3,208.5,152502
114,114,Pasadena,California,25196,56214,73029,92138,151867,250001,0.34501362472442454,0.7697490038204001,1.2616631749031206,2.0795437428966577,3.423311287296827,8.0,5.6,51.0,35.7,202.0,141.4,313.0,219.0,745.0,521.4,1842.0,1289.1,359.0,251.2,42.0,29.4,234.1,224805
115,115,Pomona,California,23032,40342,50360,62427,96065,159119,0.4573471008737093,0.8010722795869738,1.239614773629865,1.9075655281969817,3.159630659253376,18.0,11.8,88.0,57.5,344.0,224.7,403.0,263.3,718.0,469.1,2516.0,1643.7,1250.0,816.6,26.0,17.0,353.5,136087
116,116,Riverside,California,24205,46769,58979,72907,110644,191524,0.4104003119754489,0.7929771613625188,1.236151850658709,1.8759897590667864,3.2473253191814035,12.0,3.7,166.0,50.6,544.0,165.8,947.0,288.7,1673.0,510.0,6629.0,2020.9,1730.0,527.4,73.0,22.3,314.0,167319
117,117,Roseville,California,33859,62455,78446,96760,142350,230661,0.4316217525431507,0.7961527675088595,1.2334599597175127,1.814624072610458,2.940379369247635,0.0,0.0,27.0,20.0,87.0,64.4,123.0,91.1,389.0,288.1,2623.0,1942.6,310.0,229.6,33.0,24.4,169.8,196802
118,118,Sacramento,California,20085,40406,52071,65805,104727,185908,0.3857233392867431,0.77597895181579,1.2637552572449156,2.0112346603675753,3.5702790420771637,39.0,7.8,99.0,19.8,1100.0,220.0,2140.0,428.0,2888.0,577.6,9077.0,1815.4,2718.0,543.6,209.0,41.8,339.6,165823
119,119,Salinas,California,24550,42725,52338,63805,97139,166184,0.46906645267301006,0.8163284802629065,1.2190951125377354,1.8559937330429133,3.175207306354847,28.0,17.7,71.0,44.8,358.0,226.1,564.0,356.3,964.0,608.9,2589.0,1635.4,1242.0,784.5,24.0,15.2,381.1,141634
120,120,Stockton,California,18271,34986,46033,58669,96226,169445,0.396910911737232,0.7600199856624595,1.27449872917255,2.090369951990963,3.6809462776703668,55.0,17.8,154.0,49.7,1208.0,390.2,2962.0,956.8,2140.0,691.3,7040.0,2274.2,2049.0,661.9,208.0,67.2,576.1,151174
121,121,Sunnyvale,California,46021,90699,109799,134423,208382,250001,0.4191386078197433,0.8260457745516808,1.2242643375622728,1.8978497071922331,2.2768968751992276,1.0,0.6,29.0,18.7,56.0,36.1,96.0,62.0,512.0,330.5,1872.0,1208.4,298.0,192.4,19.0,12.3,126.4,203980
122,122,Torrance,California,32668,63493,80862,99379,152397,250001,0.40399693304642476,0.7852019489995301,1.2289950780341816,1.8846553387252356,3.091699438549628,0.0,0.0,36.0,24.4,116.0,78.7,115.0,78.0,557.0,377.7,2213.0,1500.5,436.0,295.6,12.0,8.1,168.8,217333
123,123,Victorville,California,19042,36029,45895,60257,89713,149513,0.4149035842684388,0.7850310491338925,1.3129316919054363,1.9547445255474452,3.2577187057413663,14.0,11.4,54.0,43.8,267.0,216.6,527.0,427.5,830.0,673.2,1839.0,1491.7,649.0,526.4,42.0,34.1,357.1,130471
124,124,Visalia,California,20830,41615,52099,64328,102271,180339,0.3998157354267836,0.7987677306666154,1.2347261943607364,1.9630127257720877,3.461467590548763,9.0,6.8,81.0,61.3,144.0,109.0,223.0,168.8,839.0,634.9,2953.0,2234.7,604.0,457.1,16.0,12.1,299.5,159509
125,125,Arvada,Colorado,34018,57696,72010,87108,130226,221647,0.47240661019302876,0.8012220524927094,1.2096653242605193,1.80844327176781,3.078003055131232,0.0,0.0,39.0,32.7,44.0,36.9,110.0,92.2,337.0,282.4,2521.0,2112.3,444.0,372.0,19.0,15.9,189.7,187629
126,126,Aurora,Colorado,26575,45230,55303,66823,101629,172249,0.4805345098819232,0.8178579823879355,1.2083069634558703,1.8376760754389454,3.1146411587074843,30.0,8.2,319.0,86.7,679.0,184.5,1211.0,329.1,1671.0,454.1,7194.0,1954.8,2189.0,594.8,68.0,18.5,364.4,145674
127,127,Boulder,Colorado,19371,45530,60569,80375,141093,250001,0.31981706813716587,0.7517046674041176,1.3269989598639569,2.329458964156582,4.127540491010253,0.0,0.0,52.0,47.6,30.0,27.5,176.0,161.2,559.0,512.0,2497.0,2286.9,219.0,200.6,19.0,17.4,221.9,230630
128,128,Brighton,Colorado,30597,50446,62316,75004,115793,173250,0.49099749663007897,0.8095192245972141,1.2036074202452018,1.8581584183837216,2.7801848642403235,0.0,0.0,38.0,97.2,24.0,61.4,126.0,322.3,145.0,370.9,956.0,2445.1,206.0,526.9,8.0,20.5,326.5,142653
129,129,Broomfield,Colorado,37950,68619,83334,99072,147913,250001,0.45539635682914537,0.823421412628699,1.1888544891640866,1.7749418004655964,2.9999880000959993,1.0,1.5,23.0,33.7,7.0,10.3,53.0,77.8,197.0,289.0,1400.0,2054.1,193.0,283.2,9.0,13.2,173.6,212051
130,130,Centennial,Colorado,49725,78578,96422,113449,162204,250001,0.5157018107900686,0.8149384995125594,1.176588330464002,1.682230196428201,2.592779656095082,1.0,0.9,46.0,42.3,26.0,23.9,64.0,58.8,224.0,205.8,977.0,897.6,103.0,94.6,10.0,9.2,112.5,200276
131,131,Denver,Colorado,22775,44387,56258,72013,118994,233118,0.40483131287994595,0.7889900103096449,1.2800490596892886,2.115148067830353,4.1437306694159055,59.0,8.3,699.0,98.9,1232.0,174.4,2784.0,394.0,4331.0,612.9,16021.0,2267.3,5560.0,786.8,129.0,18.3,423.5,210343
132,132,Durango,Colorado,25878,47399,60334,73851,118645,202538,0.4289123877084231,0.7856101037557596,1.2240361984950443,1.9664699837570856,3.3569463320847284,0.0,0.0,2.0,10.6,7.0,37.2,35.0,186.2,62.0,329.8,598.0,3180.7,48.0,255.3,3.0,16.0,227.6,176660
133,133,Englewood,Colorado,21287,40088,50184,60722,91257,163768,0.4241790212019767,0.7988203411445879,1.209987246931293,1.8184481109516977,3.2633508688028057,0.0,0.0,8.0,25.1,23.0,72.3,32.0,100.6,231.0,726.1,1393.0,4378.7,143.0,449.5,6.0,18.9,323.9,142481
134,134,Evans,Colorado,26139,42512,51238,62233,92225,134537,0.510148717748546,0.8296967094734377,1.2145868300870448,1.7999336429993364,2.625726999492564,0.0,0.0,1.0,7.4,11.0,81.9,17.0,126.6,96.0,715.2,467.0,3479.1,60.0,447.0,5.0,37.2,296.1,108398
135,135,Fountain,Colorado,31711,51328,59497,73614,103336,162995,0.5329848563793133,0.862698959611409,1.2372724675193707,1.7368270669109367,2.7395498932719295,0.0,0.0,29.0,99.3,14.0,47.9,106.0,363.0,115.0,393.8,566.0,1938.2,100.0,342.4,5.0,17.1,298.9,131284
136,136,Golden,Colorado,24044,46735,59028,78065,139108,246375,0.40733211357321947,0.7917429016737819,1.3225079623229654,2.356644304397913,4.173866639560886,1.0,4.8,7.0,33.4,3.0,14.3,12.0,57.3,62.0,296.0,485.0,2315.3,53.0,253.0,3.0,14.3,185.6,222331
137,137,Greeley,Colorado,21106,40536,50483,61712,95598,158062,0.41808133431056,0.8029633738090051,1.222431313511479,1.8936671750886438,3.1309945922389715,5.0,4.7,75.0,70.8,57.0,53.8,312.0,294.6,428.0,404.1,2020.0,1907.4,266.0,251.2,23.0,21.7,265.8,136956
138,138,Lafayette,Colorado,35042,56952,72895,88059,143677,246904,0.48071884217024485,0.7812881541943892,1.2080252417861308,1.9710131010357363,3.3871184580561082,0.0,0.0,24.0,82.9,7.0,24.2,35.0,120.9,65.0,224.6,607.0,2097.5,39.0,134.8,3.0,10.4,208.2,211862
139,139,Lakewood,Colorado,26095,47311,58227,71150,109438,189885,0.44815978841430953,0.8125268346299827,1.221941710890137,1.8795060710666873,3.261115977124015,5.0,3.2,151.0,96.6,208.0,133.0,643.0,411.3,911.0,582.7,5492.0,3512.8,1193.0,763.1,24.0,15.4,448.2,163790
140,140,Littleton,Colorado,27683,52453,67133,82126,130817,243839,0.41236053803643513,0.7813295994518344,1.2233327871538588,1.9486243725142627,3.632177915481209,0.0,0.0,18.0,38.2,15.0,31.8,15.0,31.8,262.0,556.1,996.0,2114.1,171.0,363.0,5.0,10.6,199.0,216156
141,141,Longmont,Colorado,26917,48580,62847,76753,120464,202507,0.42829411109519944,0.7729883685776568,1.2212675227138925,1.91678202619059,3.2222222222222223,4.0,4.3,108.0,114.9,26.0,27.7,193.0,205.4,307.0,326.7,1776.0,1889.8,235.0,250.1,60.0,63.8,268.3,175590
142,142,Louisville,Colorado,42734,75345,94304,117408,166304,250001,0.45315151001017984,0.7989586868001357,1.2449949100780455,1.7634882931795046,2.651011621988463,0.0,0.0,5.0,23.6,5.0,23.6,8.0,37.7,37.0,174.3,32.0,150.8,16.0,75.4,3.0,14.1,57.7,207267
143,143,Loveland,Colorado,26545,47268,59353,71947,105506,174259,0.44723939817700875,0.7963877141846242,1.2121880949572894,1.7776018061429077,2.9359762775259886,0.0,0.0,64.0,81.4,26.0,33.0,159.0,202.1,199.0,253.0,1581.0,2009.6,108.0,137.3,15.0,19.1,224.5,147714
144,144,Montrose,Colorado,18543,32697,41547,52497,81596,127547,0.4463138132717164,0.7869882301971262,1.26355693551881,1.9639444484559656,3.069944881700243,1.0,5.2,7.0,36.2,4.0,20.7,32.0,165.4,132.0,682.3,735.0,3799.2,79.0,408.4,2.0,10.3,311.0,109004
145,145,Northglenn,Colorado,27441,47880,59188,70101,98341,145672,0.4636243833209434,0.8089477596810164,1.1843785902547814,1.6615023315536934,2.4611745624112995,0.0,0.0,30.0,75.9,13.0,32.9,109.0,275.8,130.0,328.9,909.0,2300.1,345.0,873.0,8.0,20.2,310.6,118231
146,146,Pueblo,Colorado,15074,28140,35770,44947,73370,129839,0.4214145932345541,0.786692759295499,1.2565557729941292,2.0511601901034386,3.6298294660329886,10.0,9.0,199.0,179.5,219.0,197.5,739.0,666.5,1376.0,1241.1,4234.0,3818.8,1228.0,1107.6,50.0,45.1,682.4,114765
147,147,Sterling,Colorado,12523,28830,36282,43748,73845,120775,0.34515737831431564,0.794608896973706,1.2057769692960696,2.0353067636844715,3.3287856237252633,1.0,7.2,14.0,100.3,3.0,21.5,43.0,308.1,84.0,601.9,349.0,2500.9,20.0,143.3,4.0,28.7,316.3,108252
148,148,Thornton,Colorado,35509,58275,69417,82698,118662,188740,0.5115317573505049,0.8394917671463763,1.1913220104585331,1.709408358183154,2.7189305213420343,5.0,3.6,150.0,107.3,72.0,51.5,263.0,188.1,,,3028.0,2165.6,739.0,528.5,28.0,20.0,301.2,153231
149,149,Westminster,Colorado,34299,57554,69805,83301,126747,209151,0.49135448750089533,0.8244968125492443,1.1933385860611705,1.8157295322684621,2.99621803595731,4.0,3.5,68.0,59.1,46.0,39.9,157.0,136.3,446.0,387.3,2489.0,2161.4,733.0,636.5,12.0,10.4,257.9,174852
150,150,Naugatuck,Connecticut,28307,48625,59522,77784,122585,209076,0.4755720573905447,0.8169248345149692,1.3068109270521824,2.059490608514499,3.512583582540909,0.0,0.0,10.0,31.9,9.0,28.7,17.0,54.3,66.0,210.8,353.0,1127.4,29.0,92.6,1.0,3.2,112.3,180769
151,151,Dover,Delaware,18735,36600,46355,58531,88670,150546,0.40416352065580846,0.7895588393916514,1.2626685362959766,1.912846510624528,3.247675547405889,4.0,10.5,14.0,36.8,38.0,99.8,208.0,546.2,52.0,136.5,1558.0,4091.0,61.0,160.2,9.0,23.6,375.6,131811
152,152,Harrington,Delaware,21739,34509,39761,53277,75181,113688,0.5467417821483364,0.8679107668318201,1.3399310882523074,1.89082266542592,2.8592842232338223,0.0,0.0,0.0,0.0,4.0,108.1,17.0,459.6,17.0,459.6,99.0,2676.4,4.0,108.1,0.0,0.0,272.2,91949
153,153,Lewes,Delaware,30182,46355,66583,80028,125348,230067,0.4532988901070844,0.6961987294054037,1.20192842016731,1.8825826412147244,3.4553414535241727,0.0,0.0,1.0,31.9,0.0,0.0,3.0,95.8,13.0,415.2,62.0,1980.2,2.0,63.9,0.0,0.0,158.1,199885
154,154,Milford,Delaware,18880,38071,47557,57747,82618,135500,0.3969972874655676,0.8005340959269929,1.214269192758164,1.7372416258384675,2.849212523918666,1.0,8.9,9.0,80.2,23.0,204.9,70.0,623.7,80.0,712.8,552.0,4918.5,13.0,115.8,0.0,0.0,524.1,116620
155,155,Newark,Delaware,18037,42258,55256,73142,117403,215477,0.32642608947444623,0.7647676270450268,1.3236933545678298,2.1247104386853914,3.899612711741711,1.0,3.0,11.0,32.6,34.0,100.8,50.0,148.3,71.0,210.5,569.0,1687.3,26.0,77.1,2.0,5.9,180.3,197440
156,156,Seaford,Delaware,12574,34342,40000,50490,81315,144472,0.31435,0.85855,1.26225,2.032875,3.6118,0.0,0.0,3.0,38.1,20.0,253.8,36.0,456.9,51.0,647.2,389.0,4936.5,6.0,76.1,1.0,12.7,446.8,131898
157,157,Wilmington,Delaware,14056,30224,40065,52167,89231,175763,0.3508299014102084,0.7543741420192188,1.3020591538749533,2.2271558717084736,4.386946212404842,34.0,47.5,33.0,46.1,381.0,532.5,694.0,969.9,705.0,985.3,2413.0,3372.4,432.0,603.8,2.0,2.8,737.8,161707
158,158,Clearwater,Florida,19048,35646,44569,55466,97359,184006,0.4273822612129507,0.7997935784962642,1.2444972963270435,2.1844555632838967,4.128564697435437,3.0,2.6,85.0,73.7,141.0,122.3,349.0,302.7,494.0,428.5,2909.0,2523.1,249.0,216.0,16.0,13.9,309.6,164958
159,159,Gainesville,Florida,10419,25112,32716,44468,76467,138395,0.3184680278762685,0.7675754982271671,1.3592126176794228,2.3372967355422425,4.230193177650079,4.0,3.0,164.0,123.5,176.0,132.6,608.0,457.9,500.0,376.6,3915.0,2948.6,363.0,273.4,12.0,9.0,402.4,127976
160,160,Hialeah,Florida,12457,22963,29817,37555,61677,111246,0.41778180232753126,0.7701311332461348,1.2595163832712881,2.068517959553275,3.7309588489787706,6.0,2.5,33.0,13.9,154.0,64.6,280.0,117.5,593.0,248.9,3996.0,1677.2,685.0,287.5,24.0,10.1,166.5,98789
161,161,Hollywood,Florida,20536,38222,48579,60043,96501,177819,0.4227341032133226,0.7868008810391321,1.235986743242965,1.9864756376211943,3.660408818625332,8.0,5.2,27.0,17.5,176.0,114.4,234.0,152.1,722.0,469.2,3434.0,2231.4,505.0,328.2,9.0,5.8,237.5,157283
162,162,Homestead,Florida,16326,31660,40452,50631,83146,138867,0.4035894393355087,0.7826559873430239,1.2516315633343222,2.055423712053792,3.432883417383566,1.0,1.4,25.0,36.1,251.0,362.3,394.0,568.7,420.0,606.3,1883.0,2718.1,179.0,258.4,9.0,13.0,426.0,122541
163,163,Jacksonville,Florida,20698,38330,48256,60203,94400,169261,0.42892075596816975,0.7943053713527851,1.2475754310344827,1.9562334217506632,3.507563826259947,109.0,12.2,538.0,60.1,1376.0,153.8,3625.0,405.2,5646.0,631.1,22980.0,2568.6,2925.0,326.9,96.0,10.7,372.7,148563
164,164,Kissimmee,Florida,17278,31617,38262,46398,73489,135083,0.45157074904605093,0.8263289948251529,1.212639172024463,1.9206784799540013,3.530474099628875,7.0,9.8,32.0,45.0,88.0,123.7,223.0,313.5,314.0,441.4,1633.0,2295.8,157.0,220.7,8.0,11.2,295.9,117805
165,165,Lakeland,Florida,18531,33149,40918,50788,79225,151445,0.4528813725010998,0.8101324600420353,1.2412141355882498,1.9361894520748815,3.701182853511902,1.0,0.9,73.0,67.6,89.0,82.5,144.0,133.4,574.0,531.8,3237.0,2999.2,210.0,194.6,3.0,2.8,280.2,132914
166,166,Largo,Florida,19049,31998,39636,48479,76443,135425,0.48059844585730144,0.8072963972146533,1.2231052578464023,1.9286254919769905,3.4167171258451914,1.0,1.2,71.0,84.8,97.0,115.9,196.0,234.1,310.0,370.2,2315.0,2764.9,231.0,275.9,4.0,4.8,310.4,116376
167,167,Lauderhill,Florida,16961,30824,37597,45641,72311,124308,0.4511264196611432,0.819852647817645,1.2139532409500757,1.9233183498683406,3.3063276325238715,18.0,24.9,20.0,27.6,187.0,258.3,439.0,606.3,439.0,606.3,1956.0,2701.4,378.0,522.1,6.0,8.3,462.8,107347
168,168,Melbourne,Florida,17954,32457,41262,51267,81199,141140,0.43512190393097766,0.7866075323542242,1.2424749163879598,1.9678881295138384,3.4205806795598854,4.0,4.9,63.0,76.8,121.0,147.5,482.0,587.7,548.0,668.2,2679.0,3266.6,172.0,209.7,11.0,13.4,427.2,123186
169,169,Miami,Florida,11784,24256,31642,41658,76933,179366,0.3724164085708868,0.7665760697806713,1.316541305859301,2.4313570570760383,5.668605018646104,52.0,11.2,105.0,22.7,978.0,211.2,2203.0,475.8,2440.0,527.0,14311.0,3090.9,1835.0,396.3,73.0,15.8,391.4,167582
